,layer_A,layer_B,feature_A,feature_B,weight
0,0,1,131,8100,0.0018446180038154125
1,0,1,131,17413,0.002022174885496497
2,0,1,146,2065,0.0010061552748084068
3,0,1,146,20490,0.0011442550458014011
4,0,1,356,12358,0.0024562026374042034
5,0,1,395,4628,0.0029395518358796835
6,0,1,395,15017,0.0014599115820601583
7,0,1,395,17359,0.0028902303893119097
8,0,1,513,1947,0.0037878789007663727
9,0,1,513,4327,0.001321811811067164
10,0,1,513,4473,0.0011541192652657628
11,0,1,513,4948,0.005445075687021017
12,0,1,513,6051,0.01117621548473835
13,0,1,513,6941,0.005139283370226622
14,0,1,513,7218,0.0014105902519077063
15,0,1,513,8490,0.002998737385496497
16,0,1,513,9965,0.006865530274808407
17,0,1,513,10480,0.00542534701526165
18,0,1,513,11741,0.0016769254580140114
19,0,1,513,12641,0.0012626262614503503
20,0,1,513,17006,0.016049163416028023
21,0,1,513,17359,0.020300662145018578
22,0,1,513,19009,0.0067274305038154125
23,0,1,513,19958,0.004488241858780384
24,0,1,513,20961,0.00391611410304904
25,0,1,513,22025,0.010949336923658848
26,0,1,513,23856,0.002781723393127322
27,0,1,795,2065,0.0011442550458014011
28,0,1,795,7137,0.00122316915076226
29,0,1,916,2065,0.002643623622134328
30,0,1,916,8637,0.0026929450687021017
31,0,1,916,17359,0.002199731767177582
32,0,1,1143,6051,0.01117621548473835
33,0,1,1143,17006,0.0039950283244252205
34,0,1,1143,17359,0.004054213874042034
35,0,1,1143,19009,0.0016473326832056046
36,0,1,1143,20961,0.0014500473625957966
37,0,1,1143,22025,0.0032354798167943954
38,0,1,1165,17006,0.0011837121564894915
39,0,1,1165,17359,0.0042317709885537624
40,0,1,1165,19009,0.0010061552748084068
41,0,1,1165,19958,0.013030697591602802
42,0,1,1165,22025,0.0014697759179398417
43,0,1,1368,2065,0.0021306818816810846
44,0,1,1368,4965,0.002219460206106305
45,0,1,1369,7467,0.0020616319961845875
46,0,1,1678,7996,0.002318102866411209
47,0,1,1678,14544,0.0014303188072517514
48,0,1,1678,16162,0.003491950687021017
49,0,1,1678,20961,0.006431502755731344
50,0,1,2073,7996,0.005711411125957966
51,0,1,2073,14544,0.0014500473625957966
52,0,1,2073,17006,0.0029494159389287233
53,0,1,2073,20961,0.0029395518358796835
54,0,1,2171,7467,0.0013514047022908926
55,0,1,2252,2065,0.002998737385496497
56,0,1,2252,8637,0.0030480585992336273
57,0,1,2252,17359,0.002535116858780384
58,0,1,2278,2065,0.0028211805038154125
59,0,1,2278,7137,0.0032058870419859886
60,0,1,2278,15017,0.0012034407118335366
61,0,1,2278,17359,0.0012428977061063051
62,0,1,2331,8298,0.002367424312978983
63,0,1,2331,8614,0.001538825803436339
64,0,1,2331,16815,0.001953125
65,0,1,2631,5264,0.0037484217900782824
66,0,1,2774,2065,0.0012527620419859886
67,0,1,2774,10524,0.0014993686927482486
68,0,1,2782,5377,0.0017755682347342372
69,0,1,2782,17359,0.0016867897938936949
70,0,1,2867,21958,0.001607875688932836
71,0,1,2901,2065,0.0015980113530531526
72,0,1,2901,14805,0.0016177399083971977
73,0,1,2922,2065,0.0011343908263370395
74,0,1,2922,6858,0.0011442550458014011
75,0,1,2922,13365,0.0012133049312978983
76,0,1,3040,12358,0.003343986812978983
77,0,1,3123,6051,0.002761994954198599
78,0,1,3123,17359,0.0016966540133580565
79,0,1,3123,19009,0.0016374684637412429
80,0,1,3123,20961,0.0014500473625957966
81,0,1,3123,22025,0.003225615480914712
82,0,1,3297,277,0.004685527179390192
83,0,1,3297,2065,0.00390625
84,0,1,3474,7218,0.004379734862595797
85,0,1,3516,9549,0.001538825803436339
86,0,1,3582,9177,0.002199731767177582
87,0,1,3582,17359,0.0017459753435105085
88,0,1,3802,16246,0.0012823548167943954
89,0,1,3802,17359,0.0012823548167943954
90,0,1,3980,813,0.0013809974770992994
91,0,1,4082,5377,0.0022786457557231188
92,0,1,4082,17359,0.002239188877865672
93,0,1,4319,7467,0.0016276041278615594
94,0,1,4319,8614,0.0019728534389287233
95,0,1,4319,16815,0.002515388187021017
96,0,1,4319,17742,0.0022983744274824858
97,0,1,4319,21958,0.010712594725191593
98,0,1,4319,22119,0.0013514047022908926
99,0,1,4319,23420,0.0067077018320560455
100,0,1,4319,24149,0.011393229477107525
101,0,1,4465,2065,0.0012133049312978983
102,0,1,4465,15957,0.0012330334866419435
103,0,1,4883,2838,0.0026238951832056046
104,0,1,5075,15900,0.0016177399083971977
105,0,1,5271,8100,0.0011837121564894915
106,0,1,5271,17413,0.0013711332576349378
107,0,1,5365,3037,0.003541272133588791
108,0,1,5365,4907,0.0040344856679439545
109,0,1,5365,16995,0.0029099590610712767
110,0,1,5365,17359,0.0033045297022908926
111,0,1,5625,3037,0.004586884286254644
112,0,1,5625,4907,0.006027067545801401
113,0,1,5625,15017,0.001124526490457356
114,0,1,5625,16995,0.0029494159389287233
115,0,1,5625,17359,0.00342290080152452
116,0,1,5634,2065,0.0010949337156489491
117,0,1,5634,5063,0.001124526490457356
118,0,1,5688,12358,0.002101089106872678
119,0,1,5694,17773,0.0030480585992336273
120,0,1,5737,15738,0.0010061552748084068
121,0,1,5737,17388,0.0010061552748084068
122,0,1,5737,19447,0.0010061552748084068
123,0,1,5753,2065,0.0019629893358796835
124,0,1,5753,13612,0.002120817545801401
125,0,1,5783,2458,0.0016670612385496497
126,0,1,5783,17359,0.001538825803436339
127,0,1,6002,4948,0.00243647419847548
128,0,1,6002,6941,0.0021405459847301245
129,0,1,6002,10480,0.002239188877865672
130,0,1,6061,2065,0.001341540366411209
131,0,1,6061,17591,0.0014303188072517514
132,0,1,6111,4238,0.013898753561079502
133,0,1,6111,4327,0.0045967488549649715
134,0,1,6111,8490,0.002998737385496497
135,0,1,6111,9045,0.0014697759179398417
136,0,1,6111,9897,0.001321811811067164
137,0,1,6111,9965,0.028438683599233627
138,0,1,6111,11741,0.001953125
139,0,1,6111,19009,0.0011047979351133108
140,0,1,6111,23413,0.0013020833721384406
141,0,1,6111,23856,0.002781723393127322
142,0,1,6481,16873,0.002732402179390192
143,0,1,6807,7218,0.0024857954122126102
144,0,1,7034,147,0.001272490480914712
145,0,1,7034,277,0.002239188877865672
146,0,1,7034,344,0.00170651834923774
147,0,1,7034,482,0.0023575599770992994
148,0,1,7034,594,0.0021405459847301245
149,0,1,7034,1380,0.00631313119083643
150,0,1,7034,1762,0.0014599115820601583
151,0,1,7034,2065,0.0252821184694767
152,0,1,7034,2458,0.0011047979351133108
153,0,1,7034,2505,0.002614030847325921
154,0,1,7034,3945,0.004833491053432226
155,0,1,7034,3990,0.0012133049312978983
156,0,1,7034,4878,0.0016867897938936949
157,0,1,7034,4965,0.0014500473625957966
158,0,1,7034,5276,0.020389441400766373
159,0,1,7034,5601,0.0011146622709929943
160,0,1,7034,6131,0.007999921217560768
161,0,1,7034,6429,0.0024956597480922937
162,0,1,7034,6895,0.0019235322251915932
163,0,1,7034,7096,0.0048828125
164,0,1,7034,7287,0.002268781652674079
165,0,1,7034,8298,0.003856928553432226
166,0,1,7034,8614,0.010041824541985989
167,0,1,7034,8650,0.002633759519085288
168,0,1,7034,8865,0.002781723393127322
169,0,1,7034,9487,0.013267439790070057
170,0,1,7034,9599,0.0010061552748084068
171,0,1,7034,10115,0.003097380045801401
172,0,1,7034,10328,0.009528882801532745
173,0,1,7034,10363,0.0012823548167943954
174,0,1,7034,10913,0.0013809974770992994
175,0,1,7034,12604,0.0018248895648866892
176,0,1,7034,13144,0.0013020833721384406
177,0,1,7034,13409,0.0017952966736629605
