,layer_A,layer_B,feature_A,feature_B,weight
0,0,1,131,7103,0.0013020833721384406
1,0,1,131,8100,0.0018988715019077063
2,0,1,131,17413,0.0020073784980922937
3,0,1,146,2065,0.0010850694961845875
4,0,1,146,20490,0.0011935763759538531
5,0,1,356,12358,0.0017903646221384406
6,0,1,395,4628,0.0023328992538154125
7,0,1,395,15017,0.0010308159980922937
8,0,1,395,17359,0.0023328992538154125
9,0,1,513,1947,0.002658420242369175
10,0,1,513,4628,0.0010308159980922937
11,0,1,513,4948,0.0052625867538154125
12,0,1,513,6051,0.010091145522892475
13,0,1,513,6941,0.00390625
14,0,1,513,7218,0.0017361111240461469
15,0,1,513,8490,0.0018446180038154125
16,0,1,513,8530,0.0016276041278615594
17,0,1,513,9431,0.0010308159980922937
18,0,1,513,9897,0.0020073784980922937
19,0,1,513,9965,0.0074327257461845875
20,0,1,513,10480,0.00542534701526165
21,0,1,513,11741,0.00146484375
22,0,1,513,12641,0.0018446180038154125
23,0,1,513,16760,0.0010850694961845875
24,0,1,513,17006,0.01714409701526165
25,0,1,513,17359,0.01801215298473835
26,0,1,513,19009,0.0045572915114462376
27,0,1,513,19958,0.0042860242538154125
28,0,1,513,20961,0.0021158854942768812
29,0,1,513,21845,0.0020073784980922937
30,0,1,513,22025,0.0067274305038154125
31,0,1,513,23856,0.0024956597480922937
32,0,1,795,2065,0.0011935763759538531
33,0,1,795,7137,0.0012478298740461469
34,0,1,916,2065,0.0023328992538154125
35,0,1,916,8637,0.0023328992538154125
36,0,1,916,17359,0.0020616319961845875
37,0,1,1143,6051,0.010091145522892475
38,0,1,1143,8530,0.0010308159980922937
39,0,1,1143,17006,0.0047200522385537624
40,0,1,1143,17359,0.003689236007630825
41,0,1,1143,22025,0.001953125
42,0,1,1165,17006,0.0014105902519077063
43,0,1,1165,17359,0.0050455727614462376
44,0,1,1165,19009,0.0010308159980922937
45,0,1,1165,19958,0.013997395522892475
46,0,1,1165,22025,0.0011935763759538531
47,0,1,1352,18483,0.0010308159980922937
48,0,1,1368,2065,0.0038519965019077063
49,0,1,1368,4965,0.00396050326526165
50,0,1,1368,15017,0.0018446180038154125
51,0,1,1369,7467,0.0025499132461845875
52,0,1,1678,7996,0.0016818576259538531
53,0,1,1678,16162,0.002170138992369175
54,0,1,1678,19009,0.0013563367538154125
55,0,1,1678,20961,0.0045572915114462376
56,0,1,2073,3816,0.0010308159980922937
57,0,1,2073,7996,0.004123263992369175
58,0,1,2073,17006,0.0022786457557231188
59,0,1,2073,20961,0.0023871527519077063
60,0,1,2171,7467,0.0013020833721384406
61,0,1,2252,2065,0.0029296875
62,0,1,2252,8637,0.0029296875
63,0,1,2252,17359,0.002658420242369175
64,0,1,2278,2065,0.004123263992369175
65,0,1,2278,7137,0.00444878451526165
66,0,1,2278,15017,0.0016276041278615594
67,0,1,2278,17359,0.002170138992369175
68,0,1,2631,5264,0.00390625
69,0,1,2631,17006,0.0010308159980922937
70,0,1,2743,21958,0.0011935763759538531
71,0,1,2743,24149,0.0013020833721384406
72,0,1,2774,10524,0.0012478298740461469
73,0,1,2782,5377,0.00146484375
74,0,1,2782,17359,0.00146484375
75,0,1,2867,17742,0.0010850694961845875
76,0,1,2867,21958,0.00396050326526165
77,0,1,2867,22119,0.0011393228778615594
78,0,1,2867,24149,0.0026041667442768812
79,0,1,2901,2065,0.0017361111240461469
80,0,1,2901,14805,0.0017361111240461469
81,0,1,3040,12358,0.002658420242369175
82,0,1,3123,6051,0.0016276041278615594
83,0,1,3123,17359,0.0010308159980922937
84,0,1,3123,22025,0.0018988715019077063
85,0,1,3187,3945,0.0011393228778615594
86,0,1,3297,277,0.00396050326526165
87,0,1,3297,2065,0.003634982742369175
88,0,1,3474,7218,0.0055338540114462376
89,0,1,3477,21958,0.0014105902519077063
90,0,1,3492,7287,0.0010850694961845875
91,0,1,3492,8761,0.0010850694961845875
92,0,1,3492,15738,0.0011393228778615594
93,0,1,3516,9549,0.0011935763759538531
94,0,1,3582,9177,0.00146484375
95,0,1,3582,17359,0.0014105902519077063
96,0,1,3923,18918,0.0017361111240461469
97,0,1,3980,813,0.0010850694961845875
98,0,1,4082,5377,0.0022786457557231188
99,0,1,4082,17359,0.002224392257630825
100,0,1,4319,7467,0.0023328992538154125
101,0,1,4319,8614,0.0017903646221384406
102,0,1,4319,9487,0.0017361111240461469
103,0,1,4319,16230,0.0010850694961845875
104,0,1,4319,16815,0.0018988715019077063
105,0,1,4319,17742,0.00482855923473835
106,0,1,4319,21958,0.0101453997194767
107,0,1,4319,22119,0.0021158854942768812
108,0,1,4319,23420,0.0072157117538154125
109,0,1,4319,24149,0.015462239272892475
110,0,1,4465,2065,0.0015190972480922937
111,0,1,4465,15957,0.0015190972480922937
112,0,1,4465,22054,0.0011935763759538531
113,0,1,4879,11094,0.0029839409980922937
114,0,1,4879,18918,0.0029839409980922937
115,0,1,4879,24149,0.0018988715019077063
116,0,1,4883,2838,0.0033094617538154125
117,0,1,5075,15900,0.0017361111240461469
118,0,1,5271,8100,0.0010308159980922937
119,0,1,5271,17413,0.0011393228778615594
120,0,1,5355,6502,0.0011935763759538531
121,0,1,5355,18918,0.0011393228778615594
122,0,1,5365,3037,0.0029839409980922937
123,0,1,5365,4907,0.003200954757630825
124,0,1,5365,16995,0.0024956597480922937
125,0,1,5365,17359,0.0027669270057231188
126,0,1,5438,10276,0.0012478298740461469
127,0,1,5438,24149,0.0014105902519077063
128,0,1,5625,3037,0.00434027798473835
129,0,1,5625,4907,0.00482855923473835
130,0,1,5625,15017,0.0013020833721384406
131,0,1,5625,16995,0.0024956597480922937
132,0,1,5625,17359,0.0028211805038154125
133,0,1,5634,2065,0.0013563367538154125
134,0,1,5634,5063,0.0013563367538154125
135,0,1,5688,12358,0.0012478298740461469
136,0,1,5694,17359,0.0010308159980922937
137,0,1,5694,17773,0.003634982742369175
138,0,1,5753,2065,0.0028754340019077063
